Date,Open,High,Low,Close,Adj Close,Volume
2019-08-06,850.000000,945.000000,830.000000,940.000000,935.654419,247604900
2019-08-07,945.000000,1030.000000,940.000000,1005.000000,1000.353943,487598800
2019-08-08,1050.000000,1075.000000,1010.000000,1020.000000,1015.284607,257680900
2019-08-09,1030.000000,1080.000000,1015.000000,1065.000000,1060.076538,240007000
2019-08-12,1070.000000,1080.000000,1030.000000,1035.000000,1030.215210,179863500
2019-08-13,1045.000000,1085.000000,1035.000000,1065.000000,1060.076538,175124700
2019-08-14,1070.000000,1130.000000,1050.000000,1110.000000,1104.868530,323676500
2019-08-15,1090.000000,1140.000000,1085.000000,1120.000000,1114.822266,195784600
2019-08-16,1140.000000,1150.000000,1120.000000,1120.000000,1114.822266,141043100
2019-08-19,1130.000000,1130.000000,1085.000000,1085.000000,1079.984131,85735700
2019-08-20,1080.000000,1080.000000,1035.000000,1050.000000,1045.145874,117148500
2019-08-21,1055.000000,1085.000000,1025.000000,1070.000000,1065.053467,151189900
2019-08-22,1075.000000,1080.000000,1035.000000,1040.000000,1035.192139,65051200
2019-08-23,1045.000000,1045.000000,1015.000000,1015.000000,1010.307739,87934800
2019-08-26,1020.000000,1060.000000,1015.000000,1030.000000,1025.238403,147239400
2019-08-27,1040.000000,1045.000000,1020.000000,1020.000000,1015.284607,69950500
2019-08-28,1030.000000,1060.000000,1025.000000,1050.000000,1045.145874,102409700
2019-08-29,1060.000000,1085.000000,1050.000000,1055.000000,1050.122803,161352000
2019-08-30,1075.000000,1080.000000,1045.000000,1070.000000,1065.053467,100688800
2019-09-02,1120.000000,1175.000000,1115.000000,1170.000000,1164.591187,380923500
2019-09-03,1170.000000,1170.000000,1105.000000,1110.000000,1104.868530,184669600
2019-09-04,1120.000000,1140.000000,1090.000000,1100.000000,1094.914795,108867300
2019-09-05,1105.000000,1115.000000,1085.000000,1100.000000,1094.914795,109971500
2019-09-06,1090.000000,1100.000000,1075.000000,1075.000000,1070.030396,70609200
2019-09-09,1080.000000,1135.000000,1080.000000,1120.000000,1114.822266,153116500
2019-09-10,1130.000000,1160.000000,1110.000000,1130.000000,1124.776123,202036800
2019-09-11,1125.000000,1140.000000,1115.000000,1125.000000,1119.799194,65474500
2019-09-12,1125.000000,1140.000000,1115.000000,1120.000000,1114.822266,59565600
2019-09-13,1120.000000,1125.000000,1055.000000,1070.000000,1065.053467,128241500
2019-09-16,1070.000000,1085.000000,1040.000000,1050.000000,1045.145874,95702700
2019-09-17,1045.000000,1060.000000,1040.000000,1050.000000,1045.145874,40393900
2019-09-18,1055.000000,1080.000000,1050.000000,1065.000000,1060.076538,77525900
2019-09-19,1065.000000,1080.000000,1045.000000,1045.000000,1040.169067,46921500
2019-09-20,1050.000000,1075.000000,1045.000000,1065.000000,1060.076538,77305700
2019-09-23,1070.000000,1075.000000,1055.000000,1055.000000,1050.122803,50722600
2019-09-24,1050.000000,1055.000000,1010.000000,1015.000000,1010.307739,104106400
2019-09-25,1015.000000,1035.000000,1005.000000,1010.000000,1005.330811,67498200
2019-09-26,1015.000000,1030.000000,1010.000000,1015.000000,1010.307739,70656200
2019-09-27,1015.000000,1020.000000,985.000000,990.000000,985.423279,65010900
2019-09-30,990.000000,1000.000000,965.000000,975.000000,970.492615,73819000
2019-10-01,990.000000,995.000000,950.000000,955.000000,950.585083,70031100
2019-10-02,965.000000,975.000000,915.000000,920.000000,915.746887,79407500
2019-10-03,920.000000,970.000000,915.000000,965.000000,960.538879,77444800
2019-10-04,975.000000,985.000000,945.000000,960.000000,955.562012,46452800
2019-10-07,965.000000,980.000000,945.000000,955.000000,950.585083,45234500
2019-10-08,950.000000,955.000000,930.000000,930.000000,925.700684,49179800
2019-10-09,935.000000,995.000000,935.000000,990.000000,985.423279,139352700
2019-10-10,995.000000,1015.000000,990.000000,995.000000,990.400208,106467700
2019-10-11,995.000000,1025.000000,985.000000,1015.000000,1010.307739,72275400
2019-10-14,1015.000000,1020.000000,990.000000,1000.000000,995.377075,61701300
2019-10-15,990.000000,995.000000,980.000000,985.000000,980.446411,34088600
2019-10-16,985.000000,1005.000000,960.000000,960.000000,955.562012,85270100
2019-10-17,945.000000,970.000000,940.000000,955.000000,950.585083,57845600
2019-10-18,955.000000,970.000000,920.000000,935.000000,930.677551,125613800
2019-10-21,940.000000,955.000000,920.000000,925.000000,920.723755,80512500
2019-10-22,920.000000,940.000000,915.000000,930.000000,925.700684,50069600
2019-10-23,945.000000,955.000000,940.000000,955.000000,950.585083,74596500
2019-10-24,960.000000,980.000000,950.000000,975.000000,970.492615,108649300
2019-10-25,980.000000,985.000000,955.000000,955.000000,950.585083,87426200
2019-10-28,950.000000,950.000000,910.000000,915.000000,910.770020,177588400
2019-10-29,925.000000,945.000000,920.000000,925.000000,920.723755,133909400
2019-10-30,930.000000,940.000000,925.000000,930.000000,925.700684,69322000
2019-10-31,935.000000,935.000000,885.000000,890.000000,885.885559,126383800
2019-11-01,900.000000,905.000000,850.000000,855.000000,851.047363,118830800
2019-11-04,855.000000,865.000000,810.000000,840.000000,836.116760,148393600
2019-11-05,830.000000,850.000000,820.000000,835.000000,831.139832,80390400
2019-11-06,840.000000,870.000000,825.000000,850.000000,846.070496,109181300
2019-11-07,855.000000,860.000000,830.000000,845.000000,841.093628,53514100
2019-11-08,840.000000,855.000000,825.000000,835.000000,831.139832,41949800
2019-11-11,830.000000,840.000000,820.000000,830.000000,826.162964,28520100
2019-11-12,815.000000,825.000000,800.000000,820.000000,816.209167,66391100
2019-11-13,830.000000,835.000000,815.000000,820.000000,816.209167,43113100
2019-11-14,820.000000,830.000000,800.000000,815.000000,811.232300,49980300
2019-11-15,810.000000,835.000000,810.000000,825.000000,821.186096,44594900
2019-11-18,825.000000,830.000000,815.000000,820.000000,816.209167,24328500
2019-11-19,820.000000,835.000000,815.000000,835.000000,831.139832,35948500
2019-11-20,840.000000,845.000000,820.000000,825.000000,821.186096,38079700
2019-11-21,820.000000,830.000000,810.000000,815.000000,811.232300,35867700
2019-11-22,820.000000,825.000000,805.000000,810.000000,806.255432,27803700
2019-11-25,810.000000,820.000000,805.000000,815.000000,811.232300,19463000
2019-11-26,820.000000,820.000000,800.000000,810.000000,806.255432,35581900
2019-11-27,810.000000,815.000000,775.000000,780.000000,776.394104,53831000
2019-11-28,780.000000,780.000000,745.000000,750.000000,746.532776,56329600
2019-11-29,750.000000,765.000000,735.000000,750.000000,746.532776,46034900
2019-12-02,740.000000,805.000000,740.000000,790.000000,786.347900,68015300
2019-12-03,785.000000,800.000000,770.000000,775.000000,771.417236,51903700
2019-12-04,775.000000,790.000000,770.000000,785.000000,781.370972,36996800
2019-12-05,785.000000,815.000000,785.000000,805.000000,801.278564,71148200
2019-12-06,810.000000,815.000000,790.000000,810.000000,806.255432,58178100
2019-12-09,810.000000,835.000000,805.000000,825.000000,821.186096,97666600
2019-12-10,825.000000,835.000000,820.000000,825.000000,821.186096,45785500
2019-12-11,830.000000,835.000000,825.000000,825.000000,821.186096,24139700
2019-12-12,835.000000,855.000000,835.000000,835.000000,831.139832,102156900
2019-12-13,845.000000,855.000000,835.000000,850.000000,846.070496,73516800
2019-12-16,855.000000,865.000000,850.000000,865.000000,861.001160,83127000
2019-12-17,870.000000,870.000000,845.000000,860.000000,856.024292,42848800
2019-12-18,860.000000,860.000000,825.000000,830.000000,826.162964,56603100
2019-12-19,830.000000,845.000000,825.000000,835.000000,831.139832,43386700
2019-12-20,845.000000,850.000000,825.000000,830.000000,826.162964,35549100
2019-12-23,835.000000,845.000000,825.000000,825.000000,821.186096,38930900
2019-12-26,830.000000,850.000000,830.000000,840.000000,836.116760,56216100
2019-12-27,850.000000,850.000000,830.000000,835.000000,831.139832,34923000
2019-12-30,840.000000,845.000000,835.000000,840.000000,836.116760,25759500
